token_pos,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26
100,4,0,13,16,12,12,8,3,1,11,0,7,19,4,5,11,13,21,17,0,3,16,1,4,20,0
101,25,9,13,6,0,12,12,18,2,30,0,9,19,29,9,23,2,9,1,7,3,6,17,13,14,6
102,6,18,29,24,7,2,11,1,7,10,22,1,16,22,9,6,1,1,4,7,3,6,13,2,23,25
103,4,0,1,16,17,12,32,0,8,3,0,9,19,4,9,10,1,9,1,7,36,0,15,14,14,1
104,6,6,3,2,7,8,11,1,12,3,9,3,0,0,6,6,23,1,1,10,2,0,3,2,13,11
105,11,0,5,2,11,8,3,0,8,3,4,9,0,0,6,6,28,1,1,10,2,0,3,1,23,2
106,10,18,11,24,2,17,11,1,7,10,22,8,16,38,14,16,13,1,5,3,8,9,13,16,8,25
107,4,0,1,11,8,13,17,0,8,3,0,9,19,4,15,10,1,6,1,7,3,0,16,14,14,21
108,26,23,16,11,17,11,16,0,2,3,0,9,19,4,15,10,2,9,1,7,3,6,15,16,14,4
109,14,1,21,27,7,3,11,1,7,10,29,15,16,6,1,5,13,1,5,3,22,6,9,3,19,8
110,2,26,20,7,2,3,7,1,7,10,13,8,19,0,14,20,7,10,20,3,22,12,10,9,20,0
111,4,0,13,16,12,11,21,3,1,11,0,7,19,1,13,11,13,21,19,0,22,9,1,4,0,0
112,7,16,15,16,12,12,19,3,1,3,0,7,19,1,13,11,4,20,14,7,3,36,1,1,0,3
113,5,7,6,4,9,24,3,21,8,3,6,9,2,1,14,0,8,20,28,0,3,36,0,16,0,3
114,10,5,19,8,3,0,0,18,8,3,21,0,7,6,2,1,2,7,1,7,3,6,17,13,5,0
115,20,3,6,20,8,1,3,0,21,21,12,6,4,26,2,1,2,21,7,7,3,6,15,16,4,1
116,9,17,6,11,11,1,3,0,22,13,9,3,0,6,1,1,28,17,7,7,3,6,7,12,4,1
117,14,17,8,7,11,1,3,22,22,9,9,3,14,18,5,16,5,1,5,26,5,15,4,1,15,0
118,24,15,6,4,10,8,9,22,28,3,20,9,0,6,2,1,2,9,3,7,3,4,9,13,14,8
119,2,1,0,7,2,3,7,1,7,10,2,9,16,6,14,6,37,3,1,7,27,6,14,16,6,8
120,2,2,28,1,2,3,1,2,7,10,13,1,16,6,18,4,7,3,20,7,18,6,28,2,20,8
121,6,6,20,7,2,2,2,9,9,10,11,3,19,8,1,7,7,5,8,3,0,12,7,1,20,0
122,4,0,5,3,12,11,8,3,1,11,0,7,1,4,13,17,25,30,14,7,14,21,6,14,1,24
123,6,35,3,14,21,13,5,4,4,9,2,3,10,7,24,6,0,2,1,10,1,0,3,1,3,11
124,6,2,3,1,8,13,11,11,4,5,2,16,19,21,25,20,3,20,2,0,24,22,0,16,0,3
125,13,0,5,3,12,11,6,10,1,11,1,13,1,40,6,13,12,30,5,7,31,6,22,17,26,0
126,8,21,4,4,1,19,1,18,4,30,20,3,19,14,18,1,2,34,3,7,3,6,25,16,16,1
127,2,12,20,7,7,2,1,9,9,10,1,1,1,1,14,20,3,5,8,7,3,6,1,16,0,10
128,5,5,6,8,1,26,9,0,18,24,6,9,19,1,14,0,8,20,8,7,3,6,15,15,12,2
129,10,24,19,6,3,2,1,26,20,2,17,0,1,34,14,3,9,5,4,0,13,1,2,9,5,0
130,24,9,17,6,23,10,4,18,18,24,6,6,4,1,13,0,4,9,32,7,3,6,1,16,19,0
131,10,9,52,20,3,0,0,5,2,24,21,6,4,1,1,21,11,7,17,7,3,6,17,13,5,6
132,6,13,3,2,11,27,2,11,16,10,12,5,10,0,1,6,10,2,6,10,1,2,3,8,6,11
133,1,4,3,14,13,3,2,1,11,10,11,6,19,8,14,2,3,2,20,6,3,2,2,8,11,0
134,8,1,12,27,14,8,2,0,28,10,11,6,0,6,9,19,13,17,17,27,3,2,17,2,14,6
135,2,1,20,7,2,3,7,1,11,10,11,6,19,8,14,20,13,5,20,21,20,2,18,2,3,0
136,1,0,16,16,12,12,19,3,8,11,0,6,4,4,10,14,3,4,31,6,3,2,1,13,11,4
137,9,16,26,10,11,8,14,7,8,3,11,3,0,6,10,8,3,1,3,6,3,2,20,0,11,18
138,12,1,12,10,24,8,14,7,24,3,14,6,0,6,10,8,3,9,3,6,3,2,20,13,14,8
139,6,1,8,19,7,9,11,7,28,8,14,1,19,6,1,2,5,9,1,6,3,2,25,16,14,8
140,7,20,20,7,2,3,7,7,30,10,13,6,19,8,12,2,7,1,8,3,13,2,10,3,20,0
141,4,0,13,16,12,11,8,3,1,11,0,6,19,1,13,17,13,26,19,0,3,16,1,4,20,4
142,5,9,13,6,14,0,0,10,15,11,19,6,19,1,13,0,4,25,10,20,28,18,7,0,5,13
143,26,3,6,4,14,22,16,0,18,6,6,6,26,1,14,0,8,20,5,9,20,28,15,0,12,2
144,10,5,19,21,3,2,29,0,20,13,9,3,0,3,28,3,16,5,4,2,16,29,36,3,11,18
145,10,9,25,17,23,0,24,0,20,24,19,2,7,1,2,23,4,26,17,7,3,6,17,4,5,6
146,0,3,8,11,11,8,1,0,28,21,27,2,0,6,17,6,1,3,7,7,3,6,31,16,9,8
147,7,20,3,0,13,3,1,15,6,14,13,6,14,8,12,6,24,5,8,21,22,12,27,1,3,0
148,11,4,16,16,17,12,21,0,2,3,0,9,12,4,18,6,1,4,17,7,3,6,1,13,14,14
149,7,1,20,0,13,3,7,15,6,3,13,6,12,13,12,7,8,5,8,3,22,12,27,1,12,0
150,24,15,19,15,0,15,1,14,2,3,12,6,4,6,10,12,29,26,15,11,20,18,5,13,8,6
151,9,1,4,11,0,8,14,16,2,26,11,15,0,6,10,7,24,28,7,2,5,4,22,16,4,8
152,18,26,8,5,4,3,1,16,5,18,11,3,14,7,5,16,5,11,11,1,11,12,27,0,11,0
153,4,0,5,3,12,11,6,3,1,11,0,7,1,4,0,16,25,30,14,22,4,11,6,14,1,24
154,4,8,5,3,12,11,6,6,1,17,8,7,1,9,0,15,25,8,14,15,4,11,7,22,2,3
155,4,8,0,3,12,11,8,8,1,11,8,7,1,4,0,15,15,40,14,22,12,21,6,14,1,9
156,2,35,14,25,21,2,26,8,28,4,16,15,1,6,15,1,16,3,4,15,1,0,14,16,27,8
157,2,4,20,7,19,2,1,9,9,4,11,1,26,8,0,7,0,5,8,0,0,9,1,12,21,0
158,8,14,42,9,0,5,4,17,26,2,16,30,11,3,6,35,2,28,18,7,12,5,17,1,7,6
159,6,35,3,1,4,13,5,11,4,9,2,3,10,7,25,6,2,2,1,10,1,0,3,1,3,11
160,6,2,3,1,8,13,11,11,4,5,2,16,5,14,12,25,3,2,2,0,0,12,0,29,3,10
161,5,5,13,6,0,12,8,18,20,6,0,9,19,1,15,10,11,9,17,7,0,6,9,13,18,6
162,20,0,5,22,10,12,6,6,1,17,0,10,1,7,0,17,0,8,2,12,4,1,9,1,4,22
163,20,8,5,3,12,16,6,6,1,17,8,7,1,9,6,15,25,30,14,15,8,11,0,22,2,9
164,20,27,0,3,12,16,8,6,1,17,8,7,18,9,6,15,0,18,14,15,4,21,6,22,1,9
165,0,22,7,10,5,6,8,8,17,5,23,4,14,23,0,5,3,13,3,6,7,2,13,10,2,20
166,4,0,5,18,38,12,8,6,33,17,0,9,1,1,6,1,2,9,1,7,20,6,16,16,23,27
167,11,29,5,18,5,6,8,6,19,17,5,9,19,1,6,1,2,9,1,7,3,6,16,16,23,9
168,9,17,3,2,11,8,11,11,16,10,26,15,19,0,9,8,28,9,1,6,2,0,3,8,6,11
169,28,0,5,2,11,23,11,16,25,12,4,15,19,0,9,8,3,9,1,6,2,0,3,16,23,8
170,2,1,3,0,20,3,2,1,6,10,13,6,19,20,14,19,27,4,1,4,3,6,14,15,6,25
171,21,6,3,1,2,4,2,11,6,8,26,1,16,20,1,2,30,3,1,16,3,6,25,16,6,10
172,2,4,20,7,2,3,2,1,7,10,15,18,16,20,14,6,35,3,1,4,25,0,14,16,6,10
173,0,13,1,16,17,6,8,6,10,30,0,12,15,0,6,10,2,9,1,7,12,6,16,16,1,9
174,15,35,2,2,1,6,11,11,10,25,17,12,26,0,11,6,2,2,6,4,2,3,3,8,6,11
175,11,10,3,14,7,1,11,11,7,10,34,16,15,0,11,6,2,0,3,4,2,3,3,8,6,11
176,15,2,3,14,2,13,11,1,7,10,40,16,15,0,18,20,3,0,12,4,17,6,10,8,6,10
177,9,0,1,22,17,6,1,4,6,10,4,16,19,20,18,20,10,2,27,4,3,6,30,16,6,10
178,13,15,7,13,17,12,8,6,1,30,0,7,1,1,18,11,42,30,14,0,3,21,1,14,1,14
179,0,7,6,4,5,19,8,18,18,30,10,25,1,30,18,1,3,3,7,0,3,6,1,16,23,1
180,2,12,20,19,6,2,1,9,6,10,11,8,1,1,35,2,3,9,8,0,3,6,1,12,0,0
181,5,5,13,6,3,0,1,18,20,24,19,0,1,1,13,2,4,9,21,7,3,18,17,13,5,6
182,0,3,6,4,11,4,11,11,21,10,14,2,0,6,10,8,2,9,1,6,3,2,25,16,16,19
183,2,26,20,7,4,2,2,1,9,10,11,6,19,20,12,2,30,14,8,3,3,12,2,16,11,0
184,8,9,2,8,33,0,14,5,21,10,14,6,2,1,12,2,4,11,5,3,3,6,1,16,36,0
185,32,9,37,20,11,4,0,5,21,10,21,0,19,16,1,1,11,7,3,14,3,6,17,13,5,6
186,12,3,12,20,22,7,0,5,21,2,19,2,4,16,1,1,16,27,1,14,3,6,22,16,4,1
187,0,3,6,4,0,8,11,5,21,10,20,2,4,6,2,1,34,9,7,7,3,2,25,16,23,1
188,2,26,20,7,2,3,7,1,23,10,13,11,16,8,14,6,35,9,1,4,22,6,14,9,20,8
189,1,0,13,16,12,12,8,3,1,11,0,6,4,1,13,2,0,20,19,0,3,16,1,4,20,2
190,5,16,13,6,21,12,12,3,15,11,8,6,19,1,13,2,27,10,13,24,3,36,1,0,0,3
191,5,5,13,6,21,0,1,0,2,24,19,0,4,1,13,3,4,9,19,7,3,41,1,13,5,3
192,24,3,25,17,23,0,1,0,2,24,32,2,4,1,13,0,0,9,17,7,3,6,17,4,5,3
193,10,3,25,20,3,0,0,21,2,23,11,6,0,1,1,1,11,7,17,2,3,4,17,11,5,6
194,14,21,3,7,2,3,2,1,9,10,11,6,4,16,14,4,19,3,1,2,3,6,14,9,27,8
195,33,2,20,7,2,2,2,9,6,10,11,1,36,8,5,28,0,6,11,21,13,12,10,3,17,13
196,12,4,10,16,17,12,21,3,8,3,0,6,4,1,13,27,0,9,17,2,3,4,1,4,0,4
197,10,16,15,23,3,0,0,0,8,3,21,6,0,1,1,4,11,7,10,7,3,6,17,11,5,6
198,14,4,20,7,4,2,11,9,9,8,11,1,0,8,27,4,0,5,20,3,8,12,7,7,17,8
199,1,0,15,3,12,11,6,3,1,11,0,7,21,3,5,17,0,30,0,8,14,21,6,1,1,24
200,4,8,18,3,12,11,6,6,35,17,8,7,1,9,0,15,18,8,14,15,14,11,6,22,1,26
201,11,8,0,3,12,11,8,8,1,11,8,4,10,9,0,18,0,18,19,8,13,21,23,19,2,3
202,0,4,7,10,5,1,3,12,8,3,1,3,9,7,3,5,0,5,3,1,4,14,5,1,4,20
203,4,0,7,3,20,1,8,10,1,3,0,7,19,4,15,15,2,8,1,7,3,6,25,16,23,12
204,11,29,7,13,5,6,8,6,8,3,0,9,19,1,6,15,2,9,1,7,3,6,16,16,16,9
205,10,32,3,12,7,3,11,2,6,10,15,1,19,1,18,20,24,3,1,11,3,6,14,16,6,11
206,2,4,0,1,2,3,11,1,6,10,15,18,16,22,14,6,30,3,1,16,2,0,14,16,6,11
207,6,2,20,28,2,3,11,1,6,8,16,1,19,5,18,20,7,3,12,4,25,14,10,7,6,10
208,13,15,7,13,17,12,8,3,1,3,0,7,1,1,3,10,42,40,14,8,9,21,1,14,1,14
209,6,35,3,1,4,13,5,11,4,9,2,3,10,7,25,6,0,2,1,10,1,0,3,7,3,11
210,6,2,3,1,8,13,11,11,4,10,2,21,19,21,12,20,3,14,1,0,15,27,0,1,0,14
211,5,5,13,6,3,0,0,18,20,24,19,0,19,1,3,3,4,9,4,7,7,6,15,4,5,4
212,7,3,10,12,7,9,11,2,6,10,2,2,0,1,18,1,30,9,4,11,27,6,14,4,4,8
213,2,4,17,7,2,3,11,1,6,7,2,18,16,1,14,4,24,3,17,16,27,0,3,16,6,11
214,6,2,39,31,2,3,0,1,6,8,21,1,19,8,18,20,0,3,20,8,22,12,10,9,15,0
215,5,5,16,16,23,0,25,21,2,23,36,10,19,1,18,27,11,9,17,16,3,6,1,4,5,4
216,1,3,2,21,0,0,4,0,2,23,20,10,19,1,18,0,16,26,17,16,21,4,22,11,4,1
217,3,18,2,21,8,0,18,5,2,2,11,3,2,18,17,2,5,16,0,3,5,3,2,0,2,10
218,3,0,9,22,15,6,8,6,0,12,4,28,10,0,0,10,10,18,12,13,17,3,3,8,1,16
